Software,No.,Model,neg LnL,df,AIC,AICc,∆AIC,∆AICc
IQTree,40,MGK+F3X4,614642.3,20,1229325,1229325,222073,202011
IQTree,101,KOSI07+FU+R7,614771.8,21,1229586,1229586,222334,202272
IQTree,165,SCHN05+F1X4+R6,615584.2,22,1231212,1231212,223960,203898
IQTree,7,MG+F1X4+R4,615589.7,19,1231217,1231217,223965,203903
IQTree,6,MG+F1X4+R3,615595.7,17,1231225,1231225,223973,203911
IQTree,28,MGK+F1X4+I,615826,15,1231682,1231682,224430,204368
IQTree,66,GY+F3X4,615826.8,20,1231694,1231694,224442,204380
IQTree,98,KOSI07+FU+R4,615915.8,15,1231862,1231862,224610,204548
IQTree,175,SCHN05+F3X4+R3,616066.8,22,1232178,1232178,224926,204864
IQTree,54,GY+F1X4+I,616171,15,1232372,1232372,225120,205058
IQTree,5,MG+F1X4+R2,616483.4,15,1232997,1232997,225745,205683
IQTree,3,MG+F1X4+G4,616886.6,14,1233801,1233801,226549,206487
IQTree,4,MG+F1X4+I+G4,616889,15,1233808,1233808,226556,206494
IQTree,164,SCHN05+F1X4+R5,617068.2,20,1234176,1234176,226924,206862
IQTree,97,KOSI07+FU+R3,617300,13,1234626,1234626,227374,207312
IQTree,27,MGK+F1X4,617350.8,14,1234730,1234730,227478,207416
IQTree,53,GY+F1X4,617743.6,14,1235515,1235515,228263,208201
IQTree,119,KOSI07+F3X4+I,618071.7,19,1236181,1236182,228929,208868
IQTree,163,SCHN05+F1X4+R4,618973.8,18,1237984,1237984,230732,210670
IQTree,15,MG+F3X4+I,619181.6,20,1238403,1238403,231151,211089
IQTree,118,KOSI07+F3X4,619604,18,1239244,1239244,231992,211930
IQTree,109,KOSI07+F1X4+R2,619778.6,14,1239585,1239585,232333,212271
IQTree,184,SCHN05+F+I,619825.9,70,1239792,1239792,232540,212478
IQTree,14,MG+F3X4,620567,19,1241172,1241172,233920,213858
IQTree,183,SCHN05+F,620669.5,69,1241477,1241477,234225,214163
IQTree,107,KOSI07+F1X4+G4,620862.7,13,1241751,1241751,234499,214437
IQTree,108,KOSI07+F1X4+I+G4,620862.3,14,1241753,1241753,234501,214439
IQTree,162,SCHN05+F1X4+R3,621059,16,1242150,1242150,234898,214836
IQTree,2,MG+F1X4+I,622158,14,1244344,1244344,237092,217030
IQTree,96,KOSI07+FU+R2,622428.6,11,1244879,1244879,237627,217565
IQTree,174,SCHN05+F3X4+R2,623050.2,20,1246140,1246140,238888,218826
IQTree,156,SCHN05+FU+R10,623378.1,27,1246810,1246810,239558,219496
IQTree,161,SCHN05+F1X4+R2,623541.4,14,1247111,1247111,239859,219797
IQTree,1,MG+F1X4,623674.9,13,1247376,1247376,240124,220062
IQTree,155,SCHN05+FU+R9,623892.9,25,1247836,1247836,240584,220522
IQTree,94,KOSI07+FU+G4,624313.6,10,1248647,1248647,241395,221333
IQTree,95,KOSI07+FU+I+G4,624312.6,11,1248647,1248647,241395,221333
IQTree,159,SCHN05+F1X4+G4,624398.5,13,1248823,1248823,241571,221509
IQTree,160,SCHN05+F1X4+I+G4,624398.4,14,1248825,1248825,241573,221511
IQTree,154,SCHN05+FU+R8,624407.6,23,1248861,1248861,241609,221547
IQTree,153,SCHN05+FU+R7,624915.8,21,1249874,1249874,242622,222560
IQTree,106,KOSI07+F1X4+I,625424.3,13,1250875,1250875,243623,223561
IQTree,152,SCHN05+FU+R6,625485.5,19,1251009,1251009,243757,223695
IQTree,151,SCHN05+FU+R5,626269,17,1252572,1252572,245320,225258
IQTree,172,SCHN05+F3X4+G4,626386.8,19,1252812,1252812,245560,225498
IQTree,173,SCHN05+F3X4+I+G4,626386.7,20,1252813,1252813,245561,225499
IQTree,105,KOSI07+F1X4,627290.4,12,1254605,1254605,247353,227291
IQTree,150,SCHN05+FU+R4,627432.9,15,1254896,1254896,247644,227582
IQTree,93,KOSI07+FU+I,627802,10,1255624,1255624,248372,228310
IQTree,149,SCHN05+FU+R3,628994.1,13,1258014,1258014,250762,230700
IQTree,92,KOSI07+FU,630148.9,9,1260316,1260316,253064,233002
IQTree,148,SCHN05+FU+R2,632325.4,11,1264673,1264673,257421,237359
IQTree,171,SCHN05+F3X4+I,632476.7,19,1264991,1264991,257739,237677
IQTree,158,SCHN05+F1X4+I,633183,13,1266392,1266392,259140,239078
IQTree,146,SCHN05+FU+G4,633625.1,10,1267270,1267270,260018,239956
IQTree,147,SCHN05+FU+I+G4,633625,11,1267272,1267272,260020,239958
IQTree,170,SCHN05+F3X4,633952,18,1267940,1267940,260688,240626
IQTree,157,SCHN05+F1X4,635039,12,1270102,1270102,262850,242788
IQTree,145,SCHN05+FU+I,640485.4,10,1280991,1280991,273739,253677
IQTree,144,SCHN05+FU,643334.1,9,1286686,1286686,279434,259372
selac,6,GTR+G,655116.4,610,1311553,1311554,304301,284240
